id,地域,測地系,年度,ファイル容量,ファイル名,url
L03-a,6442,世界測地系,平成18年,0.24MB,L03-a-06_6442-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6442-jgd_GML.zip
L03-a,6442,日本測地系,平成18年,0.24MB,L03-a-06_6442_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6442_GML.zip
L03-a,6442,世界測地系,平成21年,0.28MB,L03-a-09_6442-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6442-jgd_GML.zip
L03-a,6442,日本測地系,平成21年,0.28MB,L03-a-09_6442-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6442-tky_GML.zip
L03-a,6442,世界測地系,平成26年,0.24MB,L03-a-14_6442-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6442-jgd_GML.zip
L03-a,6442,日本測地系,平成26年,0.24MB,L03-a-14_6442-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6442-tky_GML.zip
L03-a,6442,世界測地系,平成28年,0.24MB,L03-a-16_6442-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6442-jgd_GML.zip
L03-a,6442,日本測地系,平成28年,0.24MB,L03-a-16_6442-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6442-tky_GML.zip
L03-a,6443,日本測地系,昭和51年,0.29MB,L03-a-76_6443_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6443_GML.zip
L03-a,6443,日本測地系,昭和62年,0.28MB,L03-a-87_6443_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6443_GML.zip
L03-a,6443,日本測地系,平成3年,0.22MB,L03-a-91_6443_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6443_GML.zip
L03-a,6443,日本測地系,平成9年,0.23MB,L03-a-97_6443_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6443_GML.zip
L03-a,6443,世界測地系,平成18年,0.26MB,L03-a-06_6443-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6443-jgd_GML.zip
L03-a,6443,日本測地系,平成18年,0.26MB,L03-a-06_6443_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6443_GML.zip
L03-a,6443,世界測地系,平成21年,0.30MB,L03-a-09_6443-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6443-jgd_GML.zip
L03-a,6443,日本測地系,平成21年,0.31MB,L03-a-09_6443-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6443-tky_GML.zip
L03-a,6443,世界測地系,平成26年,0.26MB,L03-a-14_6443-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6443-jgd_GML.zip
L03-a,6443,日本測地系,平成26年,0.26MB,L03-a-14_6443-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6443-tky_GML.zip
L03-a,6443,世界測地系,平成28年,0.26MB,L03-a-16_6443-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6443-jgd_GML.zip
L03-a,6443,日本測地系,平成28年,0.26MB,L03-a-16_6443-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6443-tky_GML.zip
L03-a,6444,日本測地系,昭和51年,0.18MB,L03-a-76_6444_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6444_GML.zip
L03-a,6444,日本測地系,昭和62年,0.18MB,L03-a-87_6444_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6444_GML.zip
L03-a,6444,日本測地系,平成3年,0.15MB,L03-a-91_6444_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6444_GML.zip
L03-a,6444,日本測地系,平成9年,0.15MB,L03-a-97_6444_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6444_GML.zip
L03-a,6444,世界測地系,平成18年,0.17MB,L03-a-06_6444-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6444-jgd_GML.zip
L03-a,6444,日本測地系,平成18年,0.17MB,L03-a-06_6444_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6444_GML.zip
L03-a,6444,世界測地系,平成21年,0.20MB,L03-a-09_6444-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6444-jgd_GML.zip
L03-a,6444,日本測地系,平成21年,0.23MB,L03-a-09_6444-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6444-tky_GML.zip
L03-a,6444,世界測地系,平成26年,0.18MB,L03-a-14_6444-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6444-jgd_GML.zip
L03-a,6444,日本測地系,平成26年,0.18MB,L03-a-14_6444-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6444-tky_GML.zip
L03-a,6444,世界測地系,平成28年,0.18MB,L03-a-16_6444-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6444-jgd_GML.zip
L03-a,6444,日本測地系,平成28年,0.18MB,L03-a-16_6444-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6444-tky_GML.zip
L03-a,6445,日本測地系,昭和51年,0.09MB,L03-a-76_6445_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6445_GML.zip
L03-a,6445,日本測地系,昭和62年,0.09MB,L03-a-87_6445_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6445_GML.zip
L03-a,6445,日本測地系,平成3年,0.07MB,L03-a-91_6445_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6445_GML.zip
L03-a,6445,日本測地系,平成9年,0.07MB,L03-a-97_6445_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6445_GML.zip
L03-a,6445,世界測地系,平成18年,0.09MB,L03-a-06_6445-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6445-jgd_GML.zip
L03-a,6445,日本測地系,平成18年,0.09MB,L03-a-06_6445_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6445_GML.zip
L03-a,6445,世界測地系,平成21年,0.10MB,L03-a-09_6445-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6445-jgd_GML.zip
L03-a,6445,日本測地系,平成21年,0.15MB,L03-a-09_6445-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6445-tky_GML.zip
L03-a,6445,世界測地系,平成26年,0.09MB,L03-a-14_6445-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6445-jgd_GML.zip
L03-a,6445,日本測地系,平成26年,0.09MB,L03-a-14_6445-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6445-tky_GML.zip
L03-a,6445,世界測地系,平成28年,0.09MB,L03-a-16_6445-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6445-jgd_GML.zip
L03-a,6445,日本測地系,平成28年,0.09MB,L03-a-16_6445-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6445-tky_GML.zip
L03-a,6540,日本測地系,昭和51年,0.01MB,L03-a-76_6540_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6540_GML.zip
L03-a,6540,日本測地系,昭和62年,0.01MB,L03-a-87_6540_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6540_GML.zip
L03-a,6540,日本測地系,平成3年,0.01MB,L03-a-91_6540_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6540_GML.zip
L03-a,6540,日本測地系,平成9年,0.01MB,L03-a-97_6540_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6540_GML.zip
L03-a,6540,世界測地系,平成18年,0.03MB,L03-a-06_6540-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6540-jgd_GML.zip
L03-a,6540,日本測地系,平成18年,0.01MB,L03-a-06_6540_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6540_GML.zip
L03-a,6540,世界測地系,平成21年,0.03MB,L03-a-09_6540-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6540-jgd_GML.zip
L03-a,6540,日本測地系,平成21年,0.03MB,L03-a-09_6540-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6540-tky_GML.zip
L03-a,6540,世界測地系,平成26年,0.03MB,L03-a-14_6540-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6540-jgd_GML.zip
L03-a,6540,日本測地系,平成26年,0.03MB,L03-a-14_6540-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6540-tky_GML.zip
L03-a,6540,世界測地系,平成28年,0.03MB,L03-a-16_6540-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6540-jgd_GML.zip
L03-a,6540,日本測地系,平成28年,0.03MB,L03-a-16_6540-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6540-tky_GML.zip
L03-a,6541,日本測地系,昭和51年,0.19MB,L03-a-76_6541_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6541_GML.zip
L03-a,6541,日本測地系,昭和62年,0.19MB,L03-a-87_6541_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6541_GML.zip
L03-a,6541,日本測地系,平成3年,0.15MB,L03-a-91_6541_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6541_GML.zip
L03-a,6541,日本測地系,平成9年,0.15MB,L03-a-97_6541_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6541_GML.zip
L03-a,6541,世界測地系,平成18年,0.21MB,L03-a-06_6541-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6541-jgd_GML.zip
L03-a,6541,日本測地系,平成18年,0.18MB,L03-a-06_6541_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6541_GML.zip
L03-a,6541,世界測地系,平成21年,0.21MB,L03-a-09_6541-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6541-jgd_GML.zip
L03-a,6541,日本測地系,平成21年,0.21MB,L03-a-09_6541-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6541-tky_GML.zip
L03-a,6541,世界測地系,平成26年,0.18MB,L03-a-14_6541-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6541-jgd_GML.zip
L03-a,6541,日本測地系,平成26年,0.18MB,L03-a-14_6541-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_6541-tky_GML.zip
L03-a,6541,世界測地系,平成28年,0.18MB,L03-a-16_6541-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6541-jgd_GML.zip
L03-a,6541,日本測地系,平成28年,0.18MB,L03-a-16_6541-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_6541-tky_GML.zip
L03-a,6542,日本測地系,昭和51年,0.31MB,L03-a-76_6542_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-76/L03-a-76_6542_GML.zip
L03-a,6542,日本測地系,昭和62年,0.30MB,L03-a-87_6542_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-87/L03-a-87_6542_GML.zip
L03-a,6542,日本測地系,平成3年,0.23MB,L03-a-91_6542_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-91/L03-a-91_6542_GML.zip
L03-a,6542,日本測地系,平成9年,0.23MB,L03-a-97_6542_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-97/L03-a-97_6542_GML.zip
L03-a,6542,世界測地系,平成18年,0.27MB,L03-a-06_6542-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6542-jgd_GML.zip
L03-a,6542,日本測地系,平成18年,0.27MB,L03-a-06_6542_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-06/L03-a-06_6542_GML.zip
L03-a,6542,世界測地系,平成21年,0.30MB,L03-a-09_6542-jgd_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6542-jgd_GML.zip
L03-a,6542,日本測地系,平成21年,0.30MB,L03-a-09_6542-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_6542-tky_GML.zip
