code,label
00,北海道以外の都府県
01,石狩振興局
02,渡島総合振興局
03,檜山振興局
04,後志総合振興局
05,空知総合振興局
06,上川総合振興局
07,留萌振興局
08,宗谷総合振興局
09,網走総合振興局
10,胆振総合振興局
11,日高振興局
12,十勝総合振興局
13,釧路総合振興局
14,根室振興局
