code,label
1,第一種低層住居専用地域
2,第二種低層住居専用地域
3,第一種中高層住居専用地域
4,第二種中高層住居専用地域
5,第一種住居地域
6,第二種住居地域
7,準住居地域
8,近隣商業地域
9,商業地域
10,準工業地域
11,工業地域
12,工業専用地域
21,田園住居地域
99,不明
