code,label
1,幅員13.0m（11.0m）以上
2,幅員5.5m以上13.0m（11.0m）未満
3,幅員3.0m（2.5m）以上5.5m未満
4,幅員3.0m（2.5m）未満
5,幅員未調査
6,幅員合計
