code,label
0,無指定
1,既成都市区域
2,近郊整備区域
3,都市開発区域
4,保全区域（［近郊緑地保全区域］との重複無し）
5,近郊緑地保全区域（全て［保全区域］内）
6,近郊緑地特別保全地区（全て［近郊緑地保全区域］）
