name,code,description,type,codelist
小班ID,A45_001,小班の識別子,文字列型（CharacterString）,FALSE
森林管理局,A45_002,当該小班を管轄する森林管理局の識別コード,コードリスト「森林管理局コード」,TRUE
森林管理署,A45_003,当該小班を管轄する森林管理署の識別コード,コードリスト「森林管理署コード」,TRUE
林班主番,A45_004,当該小班が所在する林班の番号,整数型（Integer）,FALSE
林班枝番,A45_005,当該小班が所在する林班の枝番,整数型（Integer）,FALSE
小班主番,A45_006,当該小班の識別コード,コードリスト「小班主番コード」,TRUE
小班枝番,A45_007,当該小班の枝番,整数型（Integer）,FALSE
局名称,A45_008,当該小班を管轄する森林管理局の名称,コードリスト「局名称コード」,TRUE
署名称,A45_009,当該小班を管轄する森林管理署の名称,コードリスト「署名称コード」,TRUE
小班名称,A45_010,当該小班の名称,文字列型（CharacterString）,FALSE
林小班名称,A45_011,林班主番、林班枝番及び小班名称の組み合わせによる識別名,文字列型（CharacterString）,FALSE
材積,A45_012,当該小班の材積（森林の蓄積）。単位はm3とする,整数型（Integer）,FALSE
国有林名称,A45_013,当該小班が所在する国有林の名称,文字列型（CharacterString）,FALSE
県市町村名称,A45_014,当該小班が所在する市町村の名称,文字列型（CharacterString）,FALSE
樹種１,A45_015,当該小班に生育する樹種のうち、森林計画の樹立年度時点での面積歩合が一番大きい樹種,コードリスト「樹種コード」,TRUE
樹立林齢１,A45_016,樹種1の森林計画樹立年度時点での林齢,整数型（Integer）,FALSE
最新林齢１,A45_017,樹種林齢1に、森林計画樹立後の経過年数を加算した林齢,整数型（Integer）,FALSE
樹種２,A45_018,当該小班に生育する樹種のうち、森林計画の樹立年度時点での面積歩合が二番目に大きい樹種,コードリスト「樹種コード」,TRUE
樹立林齢２,A45_019,樹種2の森林計画樹立年度時点での林齢,整数型（Integer）,FALSE
最新林齢２,A45_020,樹立樹種2に、森林計画樹立後の経過年数を加算した林齢,整数型（Integer）,FALSE
樹種３,A45_021,当該小班に生育する樹種のうち、森林計画の樹立年度時点での面積歩合が三番目に大きい樹種,コードリスト「樹種コード」,TRUE
樹立林齢３,A45_022,樹種3の森林計画樹立年度時点での林齢,整数型（Integer）,FALSE
最新林齢３,A45_023,樹立林齢3に、森林計画樹立後の経過年数を加算した林齢,整数型（Integer）,FALSE
計画区名称,A45_024,当該小班が所在する森林計画区の名称,文字列型（CharacterString）,FALSE
林種の細分,A45_025,森林を成立状態により区分したもの,コードリスト「林種の細分コード」,TRUE
機能類型,A45_026,重視すべき機能,コードリスト「機能類型コード」,TRUE
面積,A45_027,当該小班の面積。単位はhaとする,実数型（Real）,FALSE
保安林１,A45_028,保安林に指定されているか否か、また、指定されている場合にはその内容（最大4つまで）,コードリスト「保安林コード」,TRUE
保安林２,A45_029,保安林に指定されているか否か、また、指定されている場合にはその内容,コードリスト「保安林コード」,TRUE
保安林３,A45_030,保安林に指定されているか否か、また、指定されている場合にはその内容,コードリスト「保安林コード」,TRUE
保安林４,A45_031,保安林に指定されているか否か、また、指定されている場合にはその内容,コードリスト「保安林コード」,TRUE
保護林,A45_032,保護林に設定されているか否かの区分,コードリスト「保護林コード」,TRUE
緑の回廊,A45_033,緑の回廊に指定されている場合、その名称を示すコード,コードリスト「緑の回廊コード」,TRUE
