name,code,description,type,codelist
都道府県名,A43_001,都道府県名,文字列型（CharacterString）,FALSE
市町村名,A43_002,市町村名,文字列型（CharacterString）,FALSE
行政コード,A43_003,行政コード,コードリスト「行政コード」,TRUE
地区名称,A43_004,地区名称,文字列型（CharacterString）,FALSE
指定,A43_005,国指定：1，県指定：2,数値型（Integer）,FALSE
所在地,A43_006,都道府県，市区町村，大字及び概ねの地番等,文字列型（CharacterString）,FALSE
種別,A43_007,種別（城下町、武家町、等）,文字列型（CharacterString）,FALSE
選定日,A43_008,選定日，「YYYYMMDD」形式,数値型（Integer）,FALSE
面積,A43_009,地区面積，単位「ha」，小数点２桁,実数型（Real）,FALSE
文化遺産オンラインURL,A43_010,文化遺産オンラインのURL,文字列型（CharacterString）,FALSE
中心地緯度,A43_011,伝統的建造物群保存地区の重心の緯度,実数型（Real）,FALSE
中心地経度,A43_012,伝統的建造物群保存地区の重心の経度,実数型（Real）,FALSE
