name,code,description,type,codelist
行政区域,P22a_001,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト型（行政区域コード）,TRUE
施設名称,P22a_002,当該施設の名称,文字列型,FALSE
所在地,P22a_003,当該施設の所在地。,文字列型,FALSE
市町村等団体名,P22a_004,当該施設を管理している市町村等団体名。,文字列型,FALSE
事業区分名,P22a_005,当該事業の事業区分名。,列挙型（事業区分名詳細）,FALSE
事業名,P22a_006,当該事業の事業名。,列挙型（事業区分名詳細）,FALSE
全体計画処理面積_合計,P22a_007,NA,実数型,FALSE
全体計画処理面積_汚水（分流）,P22a_008,NA,実数型,FALSE
全体計画処理面積_雨水（分流）,P22a_009,NA,実数型,FALSE
全体計画処理面積_合流,P22a_010,NA,実数型,FALSE
全体計画計画処理人口,P22a_011,当該事業における全体計画の計画処理人口。,整数値,FALSE
全体計画区域内人口,P22a_012,当該事業における全体計画の計画区域内人口。,整数値,FALSE
雨水計画_降雨強度最小,P22a_013,NA,実数型,FALSE
雨水計画_降雨強度最大,P22a_014,NA,実数型,FALSE
雨水計画_確率年最小,P22a_015,NA,実数型,FALSE
雨水計画_確率年最大,P22a_016,NA,実数型,FALSE
汚水計画_1人1日平均汚水最小,P22a_017,NA,実数型,FALSE
汚水計画_1人1日平均汚水最大,P22a_018,NA,実数型,FALSE
汚水計画_1人1日最大汚水最小,P22a_019,NA,実数型,FALSE
汚水計画_1人1日最大汚水次第,P22a_020,NA,実数型,FALSE
計画排水面積_汚水,P22a_021,NA,実数型,FALSE
計画排水面積_雨水,P22a_022,NA,実数型,FALSE
計画排水量_汚水（晴天時最大）,P22a_023,NA,実数型,FALSE
計画排水量_汚水（雨天時最大）,P22a_024,NA,実数型,FALSE
計画排水量_雨水,P22a_025,NA,実数型,FALSE
現有排水能力_汚水揚水量（晴天時最大）,P22a_026,NA,実数型,FALSE
現有排水能力_汚水揚水量（雨天時最大）,P22a_027,NA,実数型,FALSE
現有排水能力_雨水揚水量,P22a_028,NA,実数型,FALSE
行政区域,P22b_001,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト型（行政区域コード）,TRUE
施設名称,P22b_002,当該施設の名称,文字列型,FALSE
所在地,P22b_003,当該施設の所在地。,文字列型,FALSE
市町村等団体名,P22b_004,当該施設を管理している市町村等団体名。,文字列型,FALSE
事業区分名,P22b_005,当該事業の事業区分名。,列挙型（事業区分名詳細）,FALSE
事業名,P22b_006,当該事業の事業名。,列挙型（事業区分名詳細）,FALSE
全体計画処理面積_合計,P22b_007,NA,実数型,FALSE
全体計画処理面積_汚水（分流）,P22b_008,NA,実数型,FALSE
全体計画処理面積_雨水（分流）,P22b_009,NA,実数型,FALSE
全体計画処理面積_合流,P22b_010,NA,実数型,FALSE
全体計画計画処理人口,P22b_011,当該事業における全体計画の計画処理人口。,整数値,FALSE
全体計画区域内人口,P22b_012,当該事業における全体計画の計画区域内人口。,整数値,FALSE
雨水計画_降雨強度最小,P22b_013,NA,実数型,FALSE
雨水計画_降雨強度最大,P22b_014,NA,実数型,FALSE
雨水計画_確率年最小,P22b_015,NA,実数型,FALSE
雨水計画_確率年最大,P22b_016,NA,実数型,FALSE
汚水計画_1人1日平均汚水最小,P22b_017,NA,実数型,FALSE
汚水計画_1人1日平均汚水最大,P22b_018,NA,実数型,FALSE
汚水計画_1人1日最大汚水最小,P22b_019,NA,実数型,FALSE
汚水計画_1人1日最大汚水次第,P22b_020,NA,実数型,FALSE
種類_水処理施設,P22b_021,NA,実数型,FALSE
種類_汚泥処理施設,P22b_022,NA,実数型,FALSE
種類_有効利用施設,P22b_023,NA,実数型,FALSE
種類_再生水利用,P22b_024,NA,実数型,FALSE
放流先河川,P22b_025,当該施設から放流する処理水の放流先河川。,文字列型,FALSE
水処理施設処理面積_現在,P22b_026,NA,実数型,FALSE
水処理施設処理面積_計画,P22b_027,NA,実数型,FALSE
水処理施設処理人口_現在,P22b_028,NA,実数型,FALSE
水処理施設処理人口_計画,P22b_029,NA,実数型,FALSE
水処理施設全体計画区域内人口,P22b_030,当該施設における水処理全体計画区域内の人口。,整数値,FALSE
水処理施設晴天時1日最大処理量_現在,P22b_031,NA,実数型,FALSE
水処理施設晴天時1日最大処理量_計画,P22b_032,NA,実数型,FALSE
水処理施設雨天時最大処理量_現在,P22b_033,NA,実数型,FALSE
水処理施設雨天時最大処理量_計画,P22b_034,NA,実数型,FALSE
