id,name,code,description,type,codelist
N09,港ID,N09_001,起終点・寄港地のコード【都道府県コード＋3桁（連番）】,文字列型,FALSE
N09,都道府県名,N09_002,起終点・寄港地のある都道府県名,文字列型,FALSE
N09,島嶼名,N09_003,起終点・寄港地のある島嶼名（島でない場合は空欄）,文字列型,FALSE
N09,港名,N09_004,「ガイド」の標準ダイヤに記載されている起終点・寄港地の名称,文字列型,FALSE
N09,航路ID,N09_005,航路に与えられた「現況調査」の「管理番号」,文字列型,FALSE
N09,航路名,N09_006,「現況調査」に掲載されている航路の名称,文字列型,FALSE
N09,航路の起終点,N09_007,航路の起点及び終点の港名を、「○○～△△」の形式で入力したもの,文字列型,FALSE
N09,航路の総距離,N09_008,航路の全体の公称（不明の場合は「-99999」を入力）,実数型,FALSE
N09,事業者名,N09_009,「現況調査」に掲載されている航路を運航する事業者名,文字列型,FALSE
N09,航路線ID,N09_010,各航路線データのコード【航路コード＋2桁】,文字列型,FALSE
N09,港ID1,N09_011,航路線データの起点側の港ID,文字列型,FALSE
N09,港1島嶼名,N09_012,航路線データの起点側の港がある島嶼名,文字列型,FALSE
N09,港名1,N09_013,航路線データの起点側の港名,文字列型,FALSE
N09,港ID2,N09_014,航路線データの終点側の港ID,文字列型,FALSE
N09,港2島嶼名,N09_015,航路線データの終点側の港がある島嶼名,文字列型,FALSE
N09,港名2,N09_016,航路線データの終点側の港名,文字列型,FALSE
N09,航行している航種（フェリー）,N09_017,当該航路線にフェリーが就航する場合は「true」、しない場合は「false」,文字列型,FALSE
N09,航行している航種（旅客船）,N09_018,当該航路線に旅客船が就航する場合は「true」、しない場合は「false」,文字列型,FALSE
N09,航行している航種（高速船）,N09_019,当該航路線に高速船が就航する場合は「true」、しない場合は「false」,文字列型,FALSE
N09,航行している航種（ジェットフォイル）,N09_020,当該航路線にジェットフォイルが就航する場合は「true」、しない場合は「false」,文字列型,FALSE
N09,航行している航種（その他）,N09_021,当該航路線にフェリー、旅客船、高速船、ジェットフォイル以外の船種が就航する場合は「true」、しない場合は「false」,文字列型,FALSE
N09,便数（上り）,N09_022,当該航路線の船舶が「港1」を出発する1日当たりの回数（不確定な便数は「999.99」を入力）,実数型,FALSE
N09,便数（下り）,N09_023,当該航路線の船舶が「港2」を出発する1日当たりの回数（不確定な便数は「999.99」を入力）,実数型,FALSE
N09,所要時間（最短）,N09_024,当該航路線の港１と港２の間を運航するのに要する最短時間（不明の場合は「-99999」を入力）,実数型,FALSE
N09,所要時間（最長）,N09_025,当該航路線の港１と港２の間を運航するのに要する最長時間（所要時間が一つのものは最短のみ入力し最長には「-99999」を入力）,実数型,FALSE
N09,標準ダイヤの運行期間,N09_026,各航路で選択した「標準ダイヤ」の運行期間ダイヤが一つの場合は空欄,文字列型,FALSE
N09,旅客定員（最大）,N09_027,当該航路線を運行する船舶の旅客定員の最大（不明な場合は「-99999」を入力）,実数型,FALSE
N09,旅客定員（最小）,N09_028,当該航路線を運行する船舶の旅客定員の最少（定員数が一つの場合は最大に入力し最少には「-99999」を入力）,実数型,FALSE
N09,乗用車積載可能車両数,N09_029,当該航路線を運行する船舶の乗用車積載可能車両数（複数の船種がある場合は最大の値、該当する値がない場合は「-99999」を入力）,実数型,FALSE
N09,トラック積載可能車両数,N09_030,当該航路線を運行する船舶のトラック積載可能車両数（複数の船種がある場合は最大の値、該当する値がない場合は「-99999」を入力）,実数型,FALSE
