name,code,description,type,codelist
施設ID,P33_001,集客施設ごとの整理番号,整数型（Integer）,FALSE
行政コード,P33_002,"集客施設が属する市区町村の市区町村を示す、都道府県コードと市区町村コードからなるコ－ドJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
都道府県コード,P33_003,"集客施設が属する都道府県の都道府県コ－ドJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
施設区分コード,P33_004,施設用途による区分,コードリスト「施設区分コード」,TRUE
施設名称,P33_005,施設名および施設の名称,文字列型（CharacterString）,FALSE
郵便番号,P33_006,当該施設の番号,文字列型（CharacterString）,FALSE
住所・所在地,P33_007,当該施設の所在地,文字列型（CharacterString）,FALSE
電話番号,P33_008,当該施設の電話番号,文字列型（CharacterString）,FALSE
開設年月日,P33_009,当該施設の開館（開業）の年月日（YYYYMMDd〉,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
ホームページURL,P33_010,当該施設のウェブページURL,文字列型（CharacterString）,FALSE
アクセス,P33_011,当該施設までの交通機関によるアクセス方法,文字列型（CharacterString）,FALSE
スクリーン数,P33_012,当該施設が映画館の場合の、そのスクリーン数,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
総席数,P33_013,当該施設が映画館の場合の、その座席数,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
公民館の種別,P33_014,公民館の区分,コードリスト「公民館の種別コード」※公民館以外の施設の場合、「-1」とする。,TRUE
営業・稼働日数,P33_015,当該施設の営業日・稼働日数,文字列型（CharacterString）,FALSE
営業時間,P33_016,当該施設の営業時間,文字列型（CharacterString）,FALSE
入場料の有無,P33_017,レジャー施設の入場料金（有料、無料）の区分,文字列型（CharacterString）,FALSE
敷地面積,P33_018,当該施設の敷地面積（平方メートル）,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
建築総面積,P33_019,当該施設の建築総面積（平方メートル）,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
ホール数,P33_020,当該施設が有するホールの数,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
ホールの最大席数,P33_021,当該施設が有する最大のホールの座席数,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
ホールの総席数,P33_022,当該施設が有するホールの座席の合計,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
会議室数,P33_023,当該施設が有する会議室の数,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
展示室数,P33_024,当該施設が有する展示室の数,整数型（Integer）※整備データが存在しない場合、「-1」とする。,FALSE
代表点区分,P33_041,データの位置情報精度で区分したコード,コードリスト「代表点区分コード」,TRUE
