name,code,description,type,codelist
名称,P16_001,研究機関の名称,文字列型（CharacterString）,FALSE
主体コード,P16_002,研究機関の設立主体,数値型（Decimal）コードリスト「主体コードリスト」,TRUE
都道府県コード,P16_003,地方公共団体コード,数値型（Decimal）,FALSE
所在地,P16_004,研究機関の所在地,文字列型（CharacterString）,FALSE
ID,P16_005,研究機関のID,文字列型（CharacterString）,FALSE
原典1,P16_006,"原典資料が「当該研究機関が公開している情報」の場合""1""",数値型（Decimal）,FALSE
原典2,P16_007,"原典資料が「ReaDリスト」の場合""1""",数値型（Decimal）,FALSE
原典3,P16_008,"原典資料が「J-SBIRリスト」の場合""1""",数値型（Decimal）,FALSE
原典4,P16_009,"原典資料が「都道府県への問い合わせによる資料」の場合""1""",数値型（Decimal）,FALSE
原典5,P16_010,"原典資料が「KAKENリスト」の場合""1""",数値型（Decimal）,FALSE
原典6,P16_011,"原典資料が「日本学術振興会リスト」の場合""1""",数値型（Decimal）,FALSE
原典7,P16_012,"原典資料が「独立行政法人一覧」の場合""1""",数値型（Decimal）,FALSE
原典8,P16_013,"原典資料が「大学共同利用機関法人」の場合""1""",数値型（Decimal）,FALSE
原典9,P16_014,"原典資料がその他の場合""1""",数値型（Decimal）,FALSE
備考1,P16_015,研究分野等の備考,文字列型（CharacterString）,FALSE
備考2,P16_016,研究分野等の備考,文字列型（CharacterString）,FALSE
備考3,P16_017,研究分野等の備考,文字列型（CharacterString）,FALSE
備考4,P16_018,研究分野等の備考,文字列型（CharacterString）,FALSE
備考5,P16_019,研究分野等の備考,文字列型（CharacterString）,FALSE
備考6,P16_020,研究分野等の備考,文字列型（CharacterString）,FALSE
備考7,P16_021,研究分野等の備考,文字列型（CharacterString）,FALSE
備考8,P16_022,研究分野等の備考,文字列型（CharacterString）,FALSE
備考9,P16_023,研究分野等の備考,文字列型（CharacterString）,FALSE
備考10,P16_024,研究分野等の備考,文字列型（CharacterString）,FALSE
備考11,P16_025,研究分野等の備考,文字列型（CharacterString）,FALSE
備考12,P16_026,研究分野等の備考,文字列型（CharacterString）,FALSE
