id,name,code,description,type,codelist
P11,バス停名,P11_001,バス停留所の名称,文字列型,FALSE
P11,バス区分,P11_002,バス路線の運行形態による区分,コードリスト「バス区分コード」,TRUE
P11,事業者名_1,P11_003_1,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_2,P11_003_2,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_3,P11_003_3,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_4,P11_003_4,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_5,P11_003_5,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_6,P11_003_6,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_7,P11_003_7,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_8,P11_003_8,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_9,P11_003_9,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_10,P11_003_10,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_11,P11_003_11,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_12,P11_003_12,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_13,P11_003_13,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_14,P11_003_14,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_15,P11_003_15,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_16,P11_003_16,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_17,P11_003_17,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_18,P11_003_18,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,事業者名_19,P11_003_19,バス路線を運営する事業者名（コミュニティバスは自治体名,文字列型,FALSE
P11,バス系統_1,P11_004_1,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_2,P11_004_2,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_3,P11_004_3,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_4,P11_004_4,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_5,P11_004_5,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_6,P11_004_6,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_7,P11_004_7,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_8,P11_004_8,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_9,P11_004_9,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_10,P11_004_10,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_11,P11_004_11,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_12,P11_004_12,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_13,P11_004_13,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_14,P11_004_14,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_15,P11_004_15,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_16,P11_004_16,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_17,P11_004_17,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_18,P11_004_18,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
P11,バス系統_19,P11_004_19,バス路線の系統番号・系統名。系統が未整備であれば路線名・事業者名と連番。,文字列型,FALSE
