id,name,code,description,type
A03,行政区域コード,A03_001,都道府県コードと市区町村コードからなる、行政区を特定するためのコード,"コードリスト「行政コード」
        ※海上は""99999""とする。"
A03,都道府県名,A03_002,当該行政区の都道府県の名称,文字列型
A03,郡市名,A03_003,当該行政区の郡市の名称,文字列型
A03,区町村名,A03_004,当該行政区の区町村の名称,文字列型
A03,陸水等区分,A03_005,NA,列挙型（陸地、湖沼、湖沼内の島、海上）
A03,区域区分,A03_006,NA,"コードリスト「区域区分」
        ※首都圏、中部圏、近畿圏でコードが異なる。"
A03,区域コード,A03_007,NA,"コードリスト「区域コード」
        ※首都圏、中部圏、近畿圏でコードが異なる。"
A03,備考,A03_008,NA,文字列型
