name,code,description,type,codelist
都道府県名,P26_001,各ニュータウンの所在する都道府県名．,文字列型,FALSE
市区町村名,P26_002,各ニュータウンの所在する市町村名．,文字列型,FALSE
地方公共団体コード,P26_003,都道府県コードと市区町村コードからなる，ニュータウンが存在する行政区を特定するためのコード,コードリスト型「行政コード」,TRUE
地区名,P26_004,住宅・宅地開発事業に使用された地区名．,文字列型,FALSE
愛称名,P26_005,宅地分譲等が行われた時の愛称等．,文字列型,FALSE
連たんニュータウン名称,P26_006,連たんニュータウンの名称,文字列型,FALSE
施行面積,P26_007,事業地区の面積．単位は「ha」．,実数型,FALSE
事業主体,P26_008,各ニュータウンの事業主体の区分．,文字列型,FALSE
事業手法,P26_009,各ニュータウンの事業手法を特定するためのコード,コードリスト型「事業手法コード」,TRUE
事業開始年度（西暦）,P26_010,事業開始年度を，事業手法に応じて記載する。,時間型（TM_Instant）,FALSE
事業終了（予定）年度（西暦）,P26_011,事業終了（予定）年度を，事業手法に応じて記載する。まだ終了していないものの終了年度は，予定年度とする。,時間型（TM_Instant）,FALSE
計画戸数,P26_012,事業計画上の計画戸数について，資料等によりデータが確認できる場合に掲載する。単位は「戸」．,整数型,FALSE
計画人口,P26_013,事業計画上の計画人口について，資料等によりデータが確認できる場合に掲載する。単位は「人」．,整数型,FALSE
