name,code,description,type,codelist
3次メッシュコード,NA,1kmメッシュ範囲を表す標準地域3次メッシュ番号,文字列型（CharacterString）,FALSE
1月降水量,NA,当該メッシュにおける1月の降水量の月合計値（0.1mm単位）　以下、12月まで同様,整数型（Integer）,FALSE
2月降水量,NA,2月の降水量,整数型（Integer）,FALSE
3月降水量,NA,3月の降水量,整数型（Integer）,FALSE
4月降水量,NA,4月の降水量,整数型（Integer）,FALSE
5月降水量,NA,5月の降水量,整数型（Integer）,FALSE
6月降水量,NA,6月の降水量,整数型（Integer）,FALSE
7月降水量,NA,7月の降水量,整数型（Integer）,FALSE
8月降水量,NA,8月の降水量,整数型（Integer）,FALSE
9月降水量,NA,9月の降水量,整数型（Integer）,FALSE
10月降水量,NA,10月の降水量,整数型（Integer）,FALSE
11月降水量,NA,11月の降水量,整数型（Integer）,FALSE
12月降水量,NA,12月の降水量,整数型（Integer）,FALSE
年降水量,NA,当該メッシュにおける降水量の年合計値（0.1mm単位）,整数型（Integer）,FALSE
1月気温,NA,当該メッシュにおける1月の気温（0.1℃単位）　ここで「気温」は、最高気温、最低気温、平均気温の3種類の温度　以下、12月まで同様,整数型（Integer）,FALSE
2月気温,NA,2月の気温,整数型（Integer）,FALSE
3月気温,NA,3月の気温,整数型（Integer）,FALSE
4月気温,NA,4月の気温,整数型（Integer）,FALSE
5月気温,NA,5月の気温,整数型（Integer）,FALSE
6月気温,NA,6月の気温,整数型（Integer）,FALSE
7月気温,NA,7月の気温,整数型（Integer）,FALSE
8月気温,NA,8月の気温,整数型（Integer）,FALSE
9月気温,NA,9月の気温,整数型（Integer）,FALSE
10月気温,NA,10月の気温,整数型（Integer）,FALSE
11月気温,NA,11月の気温,整数型（Integer）,FALSE
12月気温,NA,12月の気温,整数型（Integer）,FALSE
年平均気温,NA,当該メッシュにおける年平均した気温（0.1℃単位）,整数型（Integer）,FALSE
1月最深積雪,NA,当該メッシュにおける1月の積雪の月最大値（cm単位）　以下、12月まで同様,整数型（Integer）,FALSE
2月最深積雪,NA,2月の積雪,整数型（Integer）,FALSE
3月最深積雪,NA,3月の積雪,整数型（Integer）,FALSE
12月最深積雪,NA,12月の積雪,整数型（Integer）,FALSE
年最深積雪,NA,当該メッシュにおける積雪の年最大値,整数型（Integer）,FALSE
1月日照時間,NA,当該メッシュにおける1月の日照時間の月合計値（0.1時間単位）　以下、12月まで同様,整数型（Integer）,FALSE
2月日照時間,NA,2月の日照時間,整数型（Integer）,FALSE
3月日照時間,NA,3月の日照時間,整数型（Integer）,FALSE
4月日照時間,NA,4月の日照時間,整数型（Integer）,FALSE
5月日照時間,NA,5月の日照時間,整数型（Integer）,FALSE
6月日照時間,NA,6月の日照時間,整数型（Integer）,FALSE
7月日照時間,NA,7月の日照時間,整数型（Integer）,FALSE
8月日照時間,NA,8月の日照時間,整数型（Integer）,FALSE
9月日照時間,NA,9月の日照時間,整数型（Integer）,FALSE
10月日照時間,NA,10月の日照時間,整数型（Integer）,FALSE
11月日照時間,NA,11月の日照時間,整数型（Integer）,FALSE
12月日照時間,NA,12月の日照時間,整数型（Integer）,FALSE
年合計日照時間,NA,当該メッシュにおける日照時間の年合計値（0.1時間単位）,整数型（Integer）,FALSE
1月全天日射量,NA,当該メッシュにおける1月の全天日射量の日積算量の月平均値（0.1MJm-2）　以下、12月まで同様,整数型（Integer）,FALSE
2月全天日射量,NA,2月の全天日射量,整数型（Integer）,FALSE
3月全天日射量,NA,3月の全天日射量,整数型（Integer）,FALSE
4月全天日射量,NA,4月の全天日射量,整数型（Integer）,FALSE
5月全天日射量,NA,5月の全天日射量,整数型（Integer）,FALSE
6月全天日射量,NA,6月の全天日射量,整数型（Integer）,FALSE
7月全天日射量,NA,7月の全天日射量,整数型（Integer）,FALSE
8月全天日射量,NA,8月の全天日射量,整数型（Integer）,FALSE
9月全天日射量,NA,9月の全天日射量,整数型（Integer）,FALSE
10月全天日射量,NA,10月の全天日射量,整数型（Integer）,FALSE
11月全天日射量,NA,11月の全天日射量,整数型（Integer）,FALSE
12月全天日射量,NA,12月の全天日射量,整数型（Integer）,FALSE
年平均全天日射量,NA,当該メッシュにおける全天日射量の日積算量の年平均値（0.1MJm-2）,整数型（Integer）,FALSE
